"","Lifespan.Number...","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","Lifespan.Description.","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51"
"1",NA,"Worm Strain →","N2",NA,NA,NA,"Date Eggs Picked →",NA,NA,NA,NA,NA,NA,NA,"Temp →",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"Bacteria →","yfg-3",NA,NA,NA,"Date FUDR Added →",NA,NA,NA,NA,NA,NA,NA,"Color →",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,"Treatment →",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,"Date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"Initials","JT","JT","JT","JT","JT","JT","JT","AA",NA,"JT",NA,"JT","JT","JT",NA,"AA","JT","JT","JT","JT","JT","AA","AA","AA","AA","AA","AA","AA","AA",NA,"AA","AA","AA","AA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Plate","Day","1","2","3","4","5","6","7","8",9,"10",11,"12","13","14",15,"16","17","18","19","20","21","22","23","24","25","26","27","28","29",30,"31","32","33","34",36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
"7","1","Alive","5","5","5","5","5","5","5","5",NA,"5",NA,"4","3","3",NA,"3","3","2","2","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","Dead","0","0","0","0","0","0","0","0",NA,"0",NA,"1","1","0",NA,"0","0","1","0","2","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Missing-Exploded","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","Missing-Bagged","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
